release_year,item_name_x,sentiment_analysis,recommend
2018,cubemen 2,2,True
2018,monaco,2,True
2018,monaco,1,True
2018,monaco,1,False
2018,monaco,2,True
2018,monaco,1,True
2018,monaco,2,True
2018,monaco,0,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,0,True
2018,monaco,1,True
2018,monaco,0,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,1,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,0,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,1,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,0,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,0,True
2018,monaco,1,True
2018,monaco,1,True
2018,monaco,2,True
2018,monaco,2,True
2018,monaco,1,True
2018,monaco,2,True
2017,sid meier's civilization iii: complete,2,True
2017,sid meier's civilization iii: complete,1,True
2017,sid meier's civilization iii: complete,2,True
2017,sid meier's civilization iii: complete,2,True
2017,sid meier's civilization iii: complete,0,True
2017,system shock 2,2,True
2017,system shock 2,2,True
2017,system shock 2,2,True
2017,system shock 2,2,True
2017,system shock 2,0,True
2017,system shock 2,0,True
2017,system shock 2,0,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,False
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,False
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,False
2018,the elder scrolls v: skyrim,1,False
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,1,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,False
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,0,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,2,True
2018,the elder scrolls v: skyrim,1,True
